"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Sus3","Exp3","Inf3","Rec3","Sus4","Exp4","Inf4","Rec4","Total1","Total2","Total3","Total4","TotalV"
"1",0,300,0,0,0,5000,0,1,300,0,0,0,300,0,0,0,300,0,0,0,300,300,300,300,5001
"2",1,299.959953248274,0.0387331317102225,0.00130915140347068,4.46861235235929e-06,5000.00991937704,3.03696368994217e-05,0.990050253321108,299.962943561122,0.035840903046008,0.00121379635839238,1.7394733803065e-06,299.986997215952,0.0125762677385808,0.000234249387954987,3.3569716875702e-07,299.992848401026,0.00691701388921592,0.000234249387954987,3.3569716875702e-07,300,300,299.999808068775,300,5001
"3",2,299.920310323387,0.0745640540388584,0.00509142909801874,3.41934755981389e-05,5000.01956554298,0.000229821673546803,0.980204635345995,299.926260349365,0.0689966588249521,0.00472966298502632,1.33288253812079e-05,299.974124341372,0.0242113498595282,0.000912803022931529,2.57236199014065e-06,299.985768129463,0.0133164951520716,0.000912803022931529,2.57236199014065e-06,300,300,299.999251066617,300,5001
"4",3,299.88106699162,0.107687811398429,0.011132408392217,0.000112788588877997,5000.02877618014,0.000749495881664293,0.970474323977022,299.889946259584,0.0996477138086236,0.0103619977273453,4.40288798088648e-05,299.96137992917,0.0349684814247046,0.00199988492054644,8.49744668954022e-06,299.978758414293,0.0192332033393121,0.00199988492054644,8.49744668954022e-06,300,300,299.998356792962,300,5001
"5",4,299.842218748823,0.13828413885657,0.0192359314116643,0.000261180908394968,5000.03740702166,0.00171575149539753,0.960877226844891,299.853996819213,0.127960351286148,0.0179407242051569,0.000102105295561011,299.948762390197,0.0449059336851318,0.00346271033861287,1.97065142019755e-05,299.971818412687,0.0246991704604164,0.00346271033861287,1.97065142019755e-05,300,300,299.997150740735,300,5001
"6",5,299.803760415466,0.166522561303785,0.0292187576666179,0.000498265563536679,5000.04532739289,0.00323560671509452,0.951437000395393,299.8184068226,0.154091408933439,0.0273066889816944,0.000195079485345394,299.936269865905,0.0540786676765521,0.00527059870472081,3.7651646941444e-05,299.964947139804,0.0297446098443423,0.00527059870472081,3.7651646941444e-05,300,300,299.995656783933,300,5001
"7",6,299.765685953816,0.192562506847901,0.0409105699739417,0.000840969362074634,5000.05241981587,0.00539816036078859,0.942182023768793,299.783170174318,0.178188383753555,0.0383116939153791,0.000329748012869528,299.923900174382,0.0625383713062476,0.00739498000402738,6.36451714549679e-05,299.958143438394,0.0343979364304874,0.00739498000402738,6.36451714549679e-05,300,300,299.993897170864,300,5001
"8",7,299.727988264347,0.216554381607335,0.0541529140278425,0.00130444001823924,5000.05857875446,0.00827691292253169,0.9331443326225,299.748279713838,0.200390426465554,0.0508176090719688,0.000512250624933052,299.911650749947,0.0703338081629478,0.00980922396024699,9.88727680315953e-05,299.951405944868,0.0386859584032385,0.00980922396024699,9.88727680315953e-05,300,300,299.991892654838,300,5001
"9",8,299.690659052538,0.238640242629317,0.0687985313601076,0.00190217347305213,5000.06370977101,0.0119313357254576,0.92435889326696,299.713727101319,0.220828964094465,0.0646958186825848,0.000748115904440685,299.899518603762,0.0775110359629537,0.0124885333770248,0.000144402267511458,299.944733067159,0.0426339971966359,0.0124885333770248,0.000144402267511458,300,300,299.989662575369,300,5001
"10",9,299.653688704858,0.258954266488917,0.0847109222105197,0.00264610644214352,5000.06772891539,0.016408076697495,0.915863007917094,299.679502709979,0.239628133538235,0.0798268622647333,0.00104229421822887,299.887500286539,0.0841135587399071,0.0154098750824676,0.00020118999900439,299.938122963824,0.0462659710946009,0.0154098750824676,0.00020118999900439,300,300,299.98722491036,300,5001
"11",10,299.617066190274,0.277623411466397,0.101763649970841,0.00354674828831696,5000.07056184986,0.0217425064068161,0.907695643739464,299.645595543871,0.256905394215429,0.0960998567198871,0.0013992051935935,299.875591860361,0.0901825417811486,0.0185518686823684,0.000270089939153715,299.931573528071,0.0496045133071783,0.0185518686823684,0.000270089939153715,300,300,299.984596360764,300,5001
"12",11,299.580778987998,0.294767968299896,0.119839744588302,0.00461329911406028,5000.07214306542,0.0279600784888385,0.899896856092662,299.611993179001,0.272772037625393,0.113412003139222,0.00182278023447758,299.863788878581,0.0957569904164129,0.0218946916414792,0.000351861905714268,299.92508237627,0.0526710701822338,0.0218946916414792,0.000351861905714268,300,300,299.981792422544,300,5001
