"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Sus3","Exp3","Inf3","Rec3","Sus4","Exp4","Inf4","Rec4","Total1","Total2","Total3","Total4","TotalV"
"1",0,300,0,0,0,5000,0,1,300,0,0,0,300,0,0,0,300,0,0,0,300,300,300,300,5001
"2",1,299.959953248495,0.0387331303188209,0.00130915275113519,4.46843476417023e-06,5000.00992100218,2.87665428139484e-05,0.990050231279487,299.965673879567,0.0332001458888461,0.00112436330058506,1.61124356849152e-06,299.984743456319,0.0147560985969829,0.00024986611526523,3.5806301071663e-07,299.992371633862,0.00737814195944184,0.00024986611526523,3.5806301071663e-07,300,300,299.999749779094,300,5001
"3",2,299.920310329425,0.0745640124526777,0.00509146956465675,3.418855797175e-05,5000.01957801848,0.000217657722297155,0.980204323797115,299.9316931838,0.0639132506769923,0.00438122051379943,1.23450090628239e-05,299.969639447304,0.0284077583368837,0.000973662680206281,2.74346161957572e-06,299.984819363236,0.0142042306222938,0.000973662680206281,2.74346161957572e-06,300,300,299.999023611783,300,5001
"4",3,299.881067029284,0.107687714323004,0.0111324772946332,0.000112779098330211,5000.02881734537,0.000709836563722017,0.970472818067457,299.898054136566,0.0923064570841414,0.00959862472899935,4.07816210650948e-05,299.954686271,0.0410291989007577,0.00213321924998342,9.06319734064658e-06,299.977342369172,0.0205153483810521,0.00213321924998342,9.06319734064658e-06,300,300,299.997857752348,300,5001
"5",4,299.842218902391,0.138283941602923,0.0192359827394046,0.000261173266544597,5000.03750239213,0.00162500971905856,0.960872598153052,299.864752654361,0.1185337454075,0.0166190202961055,9.45799351621037e-05,299.939882072723,0.0526887937680501,0.00369355871839872,2.10196524161868e-05,299.969939763553,0.0263456580761903,0.00369355871839872,2.10196524161868e-05,300,300,299.996285444862,300,5001
"6",5,299.803760869433,0.166522086303406,0.0292187855835113,0.000498258680093648,5000.0455095518,0.00306441403424768,0.951426034170892,299.831784009359,0.14274025946402,0.0252950263265026,0.00018070485011615,299.925224696038,0.0634509916220665,0.00562196142572309,4.01611365602228e-05,299.962610514575,0.0317273628622775,0.00562196142572309,4.01611365602228e-05,300,300,299.994337810222,300,5001
"7",6,299.765687053292,0.192561440421152,0.0409105428664703,0.000840963420101303,5000.05272768095,0.00511237408924805,0.942159944964077,299.799142701405,0.165062489702043,0.0354893560208633,0.000305452872127271,299.910711627469,0.0733763980733324,0.00788794740859934,6.7887548440626e-05,299.955353418153,0.0366907468899594,0.00788794740859934,6.7887548440626e-05,300,300,299.9920438605,300,5001
"8",7,299.727990581317,0.216552202722547,0.0541527825990511,0.00130443336145749,5000.05905698405,0.0078383996151599,0.933104616331679,299.766822300049,0.185629135927246,0.047074052954161,0.000474511069613137,299.896339927673,0.0825221591837075,0.0104631070194877,0.00010546345901803,299.948167062732,0.0412643667893774,0.0104631070194877,0.00010546345901803,300,300,299.989430657336,300,5001
"9",8,299.690663458895,0.238636178266931,0.0687981982013776,0.00190216463616416,5000.06440818019,0.0112987220197027,0.924293097790757,299.734815344781,0.20456170674389,0.0599299473727357,0.000693001102130756,299.88210618808,0.0909422279867708,0.0133209803610637,0.000154027882607674,299.941049807029,0.0454751847268748,0.0133209803610637,0.000154027882607674,300,300,299.986523424311,300,5001
"10",9,299.653696451982,0.25894722712077,0.0847102279525414,0.00264609294451551,5000.06870194338,0.0155374078892835,0.915760648728794,299.703113250738,0.221974904100813,0.0739463365282907,0.000965508632829062,299.868006489628,0.0986875355481004,0.0164369864347062,0.000214600803052744,299.933999758968,0.0493486537938494,0.0164369864347062,0.000214600803052744,300,300,299.983345612414,300,5001
"11",10,299.61707899345,0.277611927154098,0.101762354103324,0.00354672529256906,5000.07186807275,0.0205878240222976,0.907544103231127,299.671706236646,0.237977191254267,0.0890204448445689,0.00129612725484754,299.854036371663,0.105806243475841,0.0197883034405779,0.00028809292287946,299.927014759568,0.0529088440685781,0.0197883034405779,0.00028809292287946,300,300,299.979919011502,300,5001
"12",11,299.580799113107,0.294750131711701,0.119837496189995,0.00461325899139899,5000.07384474292,0.0264739397876776,0.899681317297063,299.640583272253,0.252671270651266,0.105056958933679,0.00168849816259159,299.840190809366,0.112343956408348,0.0233537656947164,0.000375314468229885,299.920092371149,0.0561785486881476,0.0233537656947164,0.000375314468229885,300,300,299.976263845937,300,5001
"13",12,299.544843402052,0.310475391395026,0.13882752898399,0.00585367756871054,5000.07457789926,0.0332113373532573,0.892210763390149,299.609732053562,0.26615444535978,0.121967658875812,0.00214584220205322,299.826464203349,0.118343882716894,0.0271137818963881,0.000476982302891617,299.913229871735,0.0591793640653106,0.0271137818963881,0.000476982302891617,300,300,299.972398850265,300,5001
"14",13,299.509196983816,0.324895380702899,0.158632785830397,0.00727484965065844,5000.07402063399,0.0408082362067172,0.885171129803025,299.579138983967,0.278518984658699,0.139671038416091,0.00267099295829109,299.812850371878,0.123846997051873,0.031050250941871,0.000593727272889877,299.906424250761,0.0619317710246718,0.031050250941871,0.000593727272889877,300,300,299.968341347144,300,5001
"15",14,299.473843499949,0.338112295590824,0.179161579531674,0.0088826249286054,5000.07213258018,0.0492664600695258,0.878600959755695,299.548789167434,0.289852464701064,0.158091938935508,0.00326642892919996,299.799342548402,0.128892191797549,0.0351464807971527,0.00072610134873604,299.899672207455,0.0644552103996994,0.0351464807971527,0.00072610134873604,300,300,299.964107322345,300,5001
"16",15,299.438765114504,0.350223190215909,0.200329774669452,0.0106819206106454,5000.06887936513,0.0585822729075964,0.872538361965781,299.518666417158,0.300238057056975,0.177161223197401,0.00393430258719485,299.785933385884,0.13351640534265,0.0393871161941436,0.000874584077424854,299.892970152675,0.0667681470539138,0.0393871161941436,0.000874584077424854,300,300,299.959711491498,300,5001
