"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Sus3","Exp3","Inf3","Rec3","Sus4","Exp4","Inf4","Rec4","Total1","Total2","Total3","Total4","TotalV"
"1",0,284,0,0,0,5000,0,1,74,0,0,0,38,0,0,0,23,0,0,0,284,74,38,23,5001
"2",1,283.991990226761,0.0077468897753699,0.000262008578321172,8.74885078990324e-07,5000.00973135221,0.000215988781932679,0.990052659012925,73.9333243377866,0.0644870174354067,0.0021855807291076,3.0640488061783e-06,37.9766016190991,0.0226303595490401,0.000421826956769963,5.91360551992372e-07,22.9871305683972,0.0124470132854466,0.000421826956769963,5.91360551992372e-07,284,74,37.9996543969655,23,5001
"3",2,283.984060272448,0.014914584999001,0.0010182939784232,6.84857444217615e-06,5000.01808635869,0.00167246603053849,0.980241175277603,73.8673702967044,0.124097231306739,0.00850845767084733,2.40143179425764e-05,37.9534494702398,0.0435560685312324,0.00164236000663788,4.63514379521378e-06,22.974396091414,0.0239569134355895,0.00164236000663788,4.63514379521378e-06,284,74,37.9986525339215,23,5001
"4",3,283.976208794332,0.0215419940802885,0.0022266352855618,2.25763026959211e-05,5000.02389396595,0.00545275982954098,0.970653274223606,73.8021245984741,0.17915980408695,0.0186363360417608,7.92613971711931e-05,37.9305386844292,0.06289236381964,0.00359772681301387,1.53000077545992e-05,22.961794140001,0.0345928331782288,0.00359772681301387,1.53000077545992e-05,284,74,37.9970440750696,23,5001
"5",4,283.968433589103,0.0276663827642311,0.0038477670989276,5.2261033838146e-05,5000.02609055132,0.0124833578199941,0.961426090856497,73.7375666695117,0.229989802553799,0.0322598177055517,0.000183710228889994,37.9078618383074,0.0807495239128283,0.00622844756564794,3.54650452796981e-05,22.9493208707229,0.0444152166662111,0.00622844756564794,3.54650452796981e-05,284,74,37.9948752748311,23,5001
"6",5,283.96073120878,0.0333238264014902,0.00584528085379658,9.96839647473548e-05,5000.02371284974,0.0235488900016553,0.952738260261421,73.6736655087955,0.276891945431411,0.0490916865361612,0.000350859236923319,37.8854078479579,0.0972341941121441,0.00947929917538369,6.77388009070715e-05,22.9369704179246,0.0534825440991295,0.00947929917538369,6.77388009070715e-05,284,73.9999999999999,37.9921890800463,23,5001
"7",6,283.953096667672,0.0385496154763798,0.00818547165238588,0.000168245199539263,5000.01588841981,0.0393096996544966,0.944801880534067,73.6103773250717,0.320163963396789,0.0688657775454749,0.000592933985979805,37.8631611306478,0.112450576750786,0.013299099893614,0.000114484941708977,22.9247344337593,0.0618519814053648,0.013299099893614,0.000114484941708977,284,73.9999999999999,37.9890252922339,23,5001
"8",7,283.945523192163,0.0433785039520582,0.0108373168324035,0.000260987052885122,5000.00183020964,0.0603125942785159,0.9378571960805,73.5476435319888,0.360098629343196,0.0913368752569478,0.000920963411008122,37.8411008907634,0.126501154952029,0.0176406917529073,0.000177836893575808,22.9126016964758,0.0695797748777604,0.0176406917529073,0.000177836893575808,284,73.9999999999999,37.9854205743619,23,5001
"9",8,283.938002010247,0.0478449560300248,0.013772407775323,0.000380625947249284,4999.98082906526,0.0870042293680286,0.932166705370723,73.4853890831295,0.396985779045577,0.116280252929641,0.00134488489524436,37.8192005233403,0.139487414028366,0.0224608544052235,0.000259718033316827,22.9005577838873,0.0767216436741204,0.0224608544052235,0.000259718033316827,284,73.9999999999999,37.9814085098072,23,5001
"10",9,283.930522184632,0.0519833238771686,0.0169649092242604,0.000529582266612858,4999.95224669994,0.119743189876096,0.928010110180448,73.4235211741728,0.43111375237657,0.143491430554955,0.00187364289560965,37.7974271449331,0.151510359960191,0.0277202613042767,0.000361860651249112,22.8885848172115,0.0833330608329523,0.0277202613042767,0.000361860651249112,284,73.9999999999999,37.9770196268488,23,5001
"11",10,283.923070500666,0.0558279570511663,0.0203915347616915,0.000710007520866996,4999.91550927181,0.158810434055458,0.925680294131735,73.3619283977545,0.462770267588741,0.172786055623423,0.00251527903328561,37.7757412831089,0.162670838098954,0.0333834596030992,0.000485823285081079,22.8766612923749,0.089469424736914,0.0333834596030992,0.000485823285081079,284,73.9999999999999,37.9722814040961,23,5001
"12",11,283.915631369952,0.0594132949879753,0.0240315226185626,0.000923812441864657,4999.87010072175,0.204419741795982,0.925479536450913,73.3004800335634,0.49224315297016,0.203999787930543,0.0032770255358026,37.7540966120791,0.173069802303441,0.0394188510935253,0.00063300870969491,22.8647619370332,0.0951862031635422,0.0394188510935253,0.00063300870969491,284,73.9999999999999,37.9672182741858,23,5001
"13",12,283.908186762573,0.0627739253948428,0.0278666171862195,0.00117269484627868,4999.81555614283,0.256727615832361,0.92771624133459,73.2390255785311,0.519820794568836,0.236988228677964,0.0041653982219927,37.7324397716874,0.182808484328729,0.0457986819025383,0.000804681852445708,22.8528576137088,0.100539022536163,0.0457986819025383,0.000804681852445708,284,73.9999999999999,37.9618516197711,23,5001
"14",13,283.900716169307,0.0659446078916983,0.0318810563593285,0.00145816644210372,4999.75145537629,0.315842333885793,0.932702289826655,73.1773945262319,0.545792295296367,0.271626892179985,0.00518628629164575,37.7107102733421,0.191988461464095,0.0524990405443423,0.00100198710758436,22.8409152709364,0.105583701411629,0.0524990405443423,0.00100198710758436,284,73.9999999999999,37.9561997624582,23,5001
"15",14,283.893196581516,0.0689602809292385,0.0360615581248028,0.00178157942955872,4999.67741663362,0.381832537474626,0.940750828907424,73.1153962957849,0.570447493925674,0.307811168563318,0.00634504172607656,37.6888404575802,0.200711674907667,0.0594998544162072,0.00122596559104869,22.8288979230065,0.110376256986221,0.0594998544162072,0.00122596559104869,284,73.9999999999999,37.9502779524951,23,5001
"16",15,283.885602487355,0.0718560523320464,0.0403973076170584,0.00214415269562703,4999.59309019456,0.45473531315258,0.95217449229115,73.0528202995464,0.594076846135749,0.345456286715494,0.00764656760230882,37.6667554994981,0.209080399654271,0.066784886519766,0.00147757220110623,22.8167646561882,0.114972885090957,0.066784886519766,0.00147757220110623,284,73.9999999999999,37.9440983578732,23,5001
"17",16,283.877905880442,0.074667178794623,0.0448799431332085,0.00254699763047892,4999.49815217542,0.53456380736871,0.967284017209603,72.989436118922,0.616971210706882,0.384497264974148,0.00909540539690849,37.6443734511482,0.217197181179493,0.0743417299993072,0.00175769250000188,22.8044706554122,0.119429922088469,0.0743417299993072,0.00175769250000188,284,73.9999999999999,37.937670054827,23,5001
"18",17,283.870076278842,0.0774290368893528,0.0495035407366212,0.0029911435323384,4999.39229837638,0.621314371731221,0.986387251885167,72.9249937721906,0.639421560671924,0.424888845978298,0.0106958211591158,37.6216053150072,0.225164746057752,0.0821617998314842,0.00206715939476419,22.791967248169,0.123803792604736,0.0821617998314842,0.00206715939476419,284,73.9999999999999,37.9309990202912,23,5001
"19",18,283.862080751117,0.0801770893184985,0.0542645969769196,0.00347756258770775,4999.27523821262,0.71497326501541,1.0097885223633,72.8592240493321,0.66171864882403,0.466605411359635,0.0124518904841275,37.5983551394841,0.233085897073594,0.0902403208546954,0.00240676960435233,22.7792019606475,0.128150948893472,0.0902403208546954,0.00240676960435233,284,73.9999999999999,37.9240881270168,23,5001
"20",19,283.853883946158,0.0829468500856898,0.0591620093252333,0.00400719443140813,4999.14668873052,0.815522945763763,1.03778832371377,72.7918388888608,0.68415265634731,0.509640872520232,0.014367582271557,37.5745201273893,0.241063403205171,0.0985763114432661,0.00277729991087925,22.7661185811256,0.132527807520189,0.0985763114432661,0.00277729991087925,284,73.9999999999999,37.9169371419486,23,5001
"21",20,283.845448124534,0.0857738506495873,0.0641970545629128,0.00458097025384129,4999.00636871863,0.922947964537378,1.07068331683125,72.7225317803653,0.707012839793703,0.554008538706981,0.0164468411339508,37.5499907512679,0.249199890127751,0.107172563104488,0.00317952316992152,22.7526572272788,0.136990686446794,0.107172563104488,0.00317952316992152,284,73.9999999999999,37.9095427276701,23,5001
"22",21,283.836733189119,0.0886936092199737,0.0693733652202903,0.00519983644113578,4998.85399291876,1.03724046984865,1.10876661138719,72.6509781768141,0.730587192405932,0.599740962399594,0.018693668380298,37.5246508695924,0.25759773717778,0.116035616053555,0.00361422406670168,22.7387544141303,0.141595745749438,0.116035616053555,0.00361422406670168,284,73.9999999999999,37.9018984468904,23,5001
"23",22,283.827696712617,0.0917416052564101,0.0746969043817434,0.00586477774526338,4998.68926634079,1.15840535408895,1.15232830512308,72.5768358996642,0.755162134973564,0.646889763835069,0.021112201527124,37.4983778374319,0.26635898645297,0.125175731174036,0.00408221460998711,22.7243431191729,0.146398935043086,0.125175731174036,0.00408221460998711,284,73.9999999999999,37.8939947696689,23,5001
"24",23,283.818293960112,0.0949532606793879,0.0801759392470655,0.00657683996122306,4998.51187868878,1.28646504279293,1.2016562684316,72.4997455246935,0.781022246352883,0.695525436724192,0.0237067922293835,37.4710426067959,0.27558526800983,0.134606858839769,0.00458434934511925,22.709352842071,0.151455949744056,0.134606858839769,0.00458434934511925,284,73.9999999999999,37.8858190829906,23,5001
"25",24,283.808477904742,0.0983639291906513,0.0858210139607094,0.00733715210615275,4998.32149890266,1.42146394317347,1.25703715416722,72.4193307360791,0.808450043104135,0.745737138242667,0.0264820825739792,37.4425098117295,0.285377744862434,0.144346605275759,0.00512154027710521,22.6937096562967,0.156822198150422,0.144346605275759,0.00512154027710521,284,73.9999999999999,37.8773557021448,23,5001
"26",25,283.798199234708,0.102008894887662,0.0916449222929225,0.00814694811157272,4998.11776981611,1.56347257684038,1.31875760705251,72.3351986372751,0.837725815991912,0.797632467006198,0.029443079726708,37.412637833594,0.295837080892967,0.154416197259302,0.00569477150384784,22.6773362502518,0.162552780985021,0.154416197259302,0.00569477150384784,284,73.9999999999999,37.8685858832501,23,5001
"27",26,283.787406350173,0.105923380945966,0.0976626808508611,0.00900758803034297,4997.90030293353,1.71259140750584,1.38710565896325,72.2469400106105,0.869127527276498,0.851337233221405,0.0325952288914991,37.381278843036,0.307063433492724,0.164840446075539,0.00630511355451519,22.6601519560339,0.168702484336039,0.164840446075539,0.00630511355451519,284,73.9999999999999,37.8594878361588,23,5001
"28",27,283.776045348612,0.110142569122652,0.103891503494558,0.00992057877053961,4997.66867332698,1.86895437891363,1.46237229410264,72.1541295178358,0.902930772514875,0.906995225078377,0.0359444845708821,37.3482788152235,0.31915647269012,0.175647711627434,0.00695373743408912,22.642072764048,0.175325786890509,0.175647711627434,0.00695373743408912,284,73.9999999999999,37.8500367369751,23,5001
"29",28,283.764059997305,0.114701630639176,0.110350777678105,0.0108875943775011,4997.42241465192,2.0327321803481,1.54485316773072,72.056325835275,0.93940880885588,0.964767975727932,0.0394973801411221,37.3134775153859,0.332215427930621,0.186869867663392,0.00764192838023096,22.6230113219293,0.182476882027066,0.186869867663392,0.00764192838023096,284,74,37.8402047393602,23,5001
"30",29,283.751391691826,0.119635768805885,0.117062043477053,0.0119104958913227,4997.16101427972,2.20413525644971,1.63485046383018,71.9530717188835,0.978832649973829,1.02483453537249,0.0432610957700965,37.276708452212,0.346339163054016,0.198542269134234,0.00837109934199679,22.6028769165322,0.19020971499161,0.198542269134234,0.00837109934199679,284,73.9999999999999,37.8299609837423,23,5001
"31",30,283.737979399485,0.124980273634982,0.124048976065329,0.0129913508146594,4996.88390854342,2.38341657856228,1.73267487801426,71.8438939958227,1.02147122658909,1.08739125286274,0.0472435247253805,37.2377987970551,0.361626279623756,0.210703722677893,0.00914280419423236,22.5815754379654,0.198578035162448,0.210703722677893,0.00914280419423236,284,73.9999999999999,37.819271603551,23,5001
"32",31,283.723759586791,0.130770588565072,0.131337372411054,0.0141324522328614,4996.59047809191,2.57087419509225,1.83864771299919,71.7283034805774,1.06759161021407,1.15265157107118,0.0514533381372551,37.1965692673233,0.378175248336783,0.223396461220764,0.00995875070541979,22.5590093248985,0.207635463175276,0.223396461220764,0.00995875070541979,284,73.9999999999999,37.8080997275863,23,5001
"33",32,283.708666130294,0.137042389175083,0.138955142892674,0.0153363376384914,4996.28004334534,2.76685358072327,1.95310307393365,71.6057948159348,1.11745929589531,1.220845839856,0.0559000483138173,37.1528339732884,0.396084567545752,0.2366661235904,0.0108208132829463,22.5350774908246,0.217435572302079,0.2366661235904,0.0108208132829463,284,73.9999999999999,37.7964054777075,23,5001
"34",33,283.692630209319,0.143831674351037,0.146932308825808,0.0166058075042105,4995.95186004917,2.9717497936232,2.07639015721204,71.4758462364067,1.17133854171553,1.29222115123591,0.0605940706418188,37.1064002258808,0.415452949061305,0.250561740302787,0.0117310455116187,22.5096752301254,0.228031984060179,0.250561740302787,0.0117310455116187,284,73.9999999999999,37.7841459607565,23,5001
"35",34,283.67558018076,0.151174869134803,0.155301006420064,0.0179439436850241,4995.6051149128,3.18600946957191,2.20887561763449,71.3379192598865,1.22949275644263,1.36704119940781,0.0655467842630206,37.0570683068641,0.436379528530813,0.265135726171598,0.0126916925269147,22.4826941047831,0.239478476518411,0.265135726171598,0.0126916925269147,284,73.9999999999999,37.7712752540935,23,5001
"36",35,283.657441435524,0.159108938979397,0.16409549778229,0.0193541277142661,4995.23892132423,3.41013267069796,2.35094600507357,71.1914583121965,1.29218492813393,1.4455861680233,0.0707705916461559,37.0046312018158,0.458964098591173,0.28044388041339,0.0137052032531274,22.4540218121081,0.251829104225419,0.28044388041339,0.0137052032531274,284,73.9999999999999,37.7577443840735,23,5001
"37",36,283.638136235385,0.167671515625593,0.173352189924942,0.0208400590641225,4994.85231513413,3.6446745978187,2.50301026805098,71.0358902867438,1.35967808780221,1.52815264831802,0.0762789771359218,36.9488742947902,0.483307363858288,0.296545395271193,0.0147742425350412,22.4235420330707,0.265138329123036,0.296545395271193,0.0147742425350412,284,73.9999999999999,37.7435012964547,23,5001
"38",37,283.617583529943,0.176901034201318,0.183109662403248,0.0224057734525551,4994.44425049819,3.89024718668936,2.66550231512398,70.8706240463847,1.43223579933235,1.61505358965253,0.0820865646303188,36.8895750257665,0.509511215414165,0.31350287372991,0.0159017032013659,22.3911342619869,0.279461161081845,0.31350287372991,0.0159017032013659,284,73.9999999999999,37.728490818112,23,5001
"39",38,283.595698753593,0.186836880981054,0.193408704135823,0.0240556612895022,4994.01359576517,4.14752060801214,2.83888362682179,70.6950498774259,1.51012266460226,1.70661828341595,0.0882091745558344,36.8265025128704,0.537679021767786,0.331382356782092,0.0170907181031477,22.3566736188001,0.294853306314663,0.331382356782092,0.0170907181031477,284,73.9999999999999,37.7126546095234,23,5001
"40",39,283.572393602109,0.197519551476305,0.204292360058173,0.0257944863568152,4993.55912939972,4.41722468622456,3.02364591405483,70.5085389058019,1.59360483292723,1.80319238098578,0.0946638802850487,36.7594171409961,0.56791593355619,0.350253360724193,0.0183446721684247,22.3200306450409,0.311371322066467,0.350253360724193,0.0183446721684247,284,73.9999999999999,37.6959311074449,23,5001
"41",40,283.547575788391,0.208990818569816,0.215805988222938,0.0276274048165194,4993.07953592966,4.70015025096055,3.22031381938518,70.3104424864142,1.68295050378727,1.90513794566691,0.10146906413155,36.6880701186909,0.600329199232248,0.370188924843773,0.0196672145132713,22.281071084672,0.329072775970992,0.370188924843773,0.0196672145132713,284,73.9999999999999,37.6782554572802,23,5001
"42",41,283.521148777612,0.221293910033922,0.227997327704545,0.0295599846489196,4992.57340190544,4.99715043814363,3.42944765642047,70.1000915806242,1.77843040941131,2.0128335368799,0.108644473084533,36.6122030068368,0.635028487974256,0.39126566949956,0.0210622706536846,22.2396556519106,0.348016407936124,0.39126566949956,0.0210622706536846,284,73.9999999999999,37.6595594349643,23,5001
"43",42,283.493011500976,0.23447369531282,0.24091657807783,0.0315982256326466,4992.03921186272,5.30914195106733,3.65164618621117,69.8767961366072,1.8803182634094,2.12667432558387,0.116211274399409,36.5315472214584,0.672126216588888,0.413563864922814,0.0225340548611002,22.1956397875622,0.368262292653898,0.413563864922814,0.0225340548611002,284,73.9999999999999,37.6397713578312,23,5001
"44",43,283.463058047915,0.248576881144297,0.254616490961296,0.0337485799795674,4991.47534427778,5.63710629364919,3.88754942857707,69.6398444898826,1.98889116090197,2.24707223804201,0.124192111173275,36.4458235143483,0.711737876575091,0.437167510664608,0.0240870827053,22.1488734060853,0.389872000544832,0.437167510664608,0.0240870827053,284,73.9999999999999,37.6188159842933,23,5001
"45",44,283.431177337023,0.263652215382756,0.26915247386094,0.0360179737327889,4990.88006750632,5.98209098798851,4.13784150568847,69.3885028046239,2.10442991409709,2.37445612325314,0.132611158025803,36.3547414365884,0.753982356851685,0.462164425232866,0.0257261838256138,22.099200636333,0.412908754608492,0.462164425232866,0.0257261838256138,284,73.9999999999999,37.5966144024985,23,5001
"46",45,283.39725276541,0.279750698720048,0.2845827068219,0.0384138290483509,4990.25153569887,6.34521078338117,4.40325351774964,69.1220145773542,2.22721930620431,2.50927193947411,0.141494176967252,36.2579987896015,0.798982257747419,0.488646345625722,0.0274565149704161,22.046459558734,0.437437580669869,0.488646345625722,0.0274565149704161,284,73.9999999999999,37.5730839079451,23,5001
"47",46,283.361161836281,0.296925803929698,0.300968272307234,0.0409440874822951,4989.58778468654,6.72764886320423,4.68456645026024,68.8396002270416,2.35754824565877,2.65198295378066,0.150868573518837,36.1552810692245,0.846864191447233,0.516709036218405,0.0292835733427828,21.9904819421251,0.463525448313712,0.516709036218405,0.0292835733427828,284,73.9999999999999,37.5481378702329,23,5001
