"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Total1","Total2","TotalV"
"1",0,284,0,0,0,5000,0,1,243,0,0,0,284,243,5001
"2",1,283.946025459243,0.0526459388283919,0.00132404670447162,4.55522416975285e-06,5000.00993231827,1.76053432717806e-05,0.990050076382223,242.988988163323,0.0107407826133068,0.000270124740483636,9.29323282025551e-07,284,243,5001
"3",2,283.892598230212,0.102188528068263,0.00517860757885374,3.4634140964787e-05,5000.01966558502,0.000132279064470358,0.980202135913106,242.978086417971,0.0208499553647112,0.00105656061597951,7.06604787085985e-06,284,243,5001
"4",3,283.839712589475,0.148788314207529,0.0113842805265738,0.000114815791156692,5000.0291044734,0.000433330721002417,0.970462195881401,242.967293644291,0.0303601495419153,0.00232278066135205,2.34255054805856e-05,284,243,5001
"5",4,283.787362790112,0.192593882866731,0.0197763488985512,0.000266978122403886,5000.03816420442,0.000995441721093034,0.96084035385412,242.956608715333,0.0393015668818344,0.00403524512808743,5.44726571172998e-05,284,243,5001
"6",5,283.735542625957,0.233748599923893,0.0301973452771104,0.000511428841857896,5000.0467661504,0.00188387467782321,0.951349974923969,242.946030409625,0.0477033497621491,0.00616188791716446,0.000104352696044974,284,243,5001
"7",6,283.68424526327,0.272389178302379,0.0424989283278044,0.000866630100308495,5000.0548389057,0.00315357448717972,0.942007519813011,242.935557376271,0.0555932901884287,0.00867249866330507,0.000176834877620192,284,243,5001
"8",7,283.633463102448,0.30864675467075,0.0565406726584547,0.00134947022277718,5000.06231722304,0.00485106740168933,0.932831709558985,242.925188106729,0.0629980486351514,0.0115384767992529,0.000275367836115721,284,243,5001
"9",8,283.583187645012,0.342647218266548,0.0721897968567859,0.00197533986468796,5000.06914171514,0.00701515321565387,0.923843131645836,242.914920907544,0.0699432210173039,0.0147327763659207,0.000403095073052904,284,243,5001
"10",9,283.533409395296,0.374511384185839,0.0893210403745635,0.00275818014371777,5000.0752586661,0.00967738161086536,0.915063952289358,242.90475388012,0.0764533740394463,0.0182298811002578,0.000562864740702765,284,243,5001
"11",10,283.484117766412,0.404355359349985,0.107816294662476,0.00371057957565525,5000.08061965178,0.0128628164548663,0.906517531766187,242.894684901409,0.0825521196725794,0.0220057295519635,0.000757249366451478,284,243,5001
"12",11,283.435301006837,0.432290852852018,0.127564275367077,0.00484386494420569,5000.08518118389,0.0165907375375222,0.898228078569966,242.884711608774,0.0882621783183083,0.0260376485644478,0.000988564343278562,284,243,5001
"13",12,283.386946156857,0.458425407716252,0.148460259851943,0.00616817557469776,5000.08890441912,0.0208751918516042,0.89022038902921,242.874831390961,0.0936054259701826,0.0303043000241361,0.00125888304499562,284,243,5001
"14",13,283.339039014939,0.482862620720401,0.170405827026522,0.00769253731357567,5000.09175486935,0.0257255284521732,0.88251960219738,242.865041381096,0.0986029389381372,0.0347856280831122,0.00157005188299543,284,243,5001
"15",14,283.291564111712,0.505702357437057,0.193308593157034,0.009424937694102,5000.09370210729,0.0311469292980122,0.875150963410221,242.855338451232,0.103275037591946,0.0394628055699266,0.00192370560589173,284,243,5001
"16",15,283.244504701484,0.527040931371711,0.217081972363405,0.0113723947811434,5000.09471949682,0.0371408732883145,0.868139629894426,242.845719210484,0.107641322785172,0.0443181854161053,0.0023212813146765,284,243,5001
"17",16,283.197842763491,0.546971266361392,0.241644946947595,0.0135410231997785,5000.09478393435,0.043705566677995,0.861510498971883,242.836180005151,0.111720708862827,0.049335254080004,0.00276403190632866,284,243,5001
"18",17,283.151559012107,0.565583043498864,0.266921846965241,0.015936097428356,5000.09387560095,0.0508363413260651,0.855288057720685,242.82671692068,0.115531453510228,0.0544985868479702,0.00325303896226547,284,243,5001
"19",18,283.105632915402,0.582962833198876,0.292842139096587,0.0185621123021611,5000.09197772534,0.0585260212590123,0.849496253399891,242.817325785337,0.119091184568597,0.0597938050237085,0.0037892250706233,284,243,5001
"20",19,283.060042720678,0.599194214668593,0.319340223787895,0.0214228408655384,5000.08907635727,0.0667652601670443,0.844158382559936,242.808002175315,0.122416924278821,0.0652075347959225,0.0043733656103624,284,243,5001
"21",20,283.01476548607,0.614357884178946,0.346355240084045,0.0245213896671488,5000.08516015096,0.075542851663538,0.839296997378837,242.798741421079,0.125525111238417,0.0707273676660325,0.00500610001639936,284,243,5001
"22",21,282.969777117285,0.628531753572676,0.373830877544357,0.0278602515983853,5000.08022015808,0.084846014192577,0.834933827730719,242.789538614777,0.128431620364905,0.0763418223119247,0.00568794254605617,284,243,5001
"23",22,282.925052408568,0.641791040420716,0.401715194602682,0.0314413564084799,5000.07424962991,0.0946606527222199,0.831089717371541,242.780388618515,0.131151781154019,0.0820403077575558,0.00641929257391189,284,243,5001
"24",23,282.880565087461,0.654208350318016,0.429960443423432,0.035266118797043,5000.06724382892,0.104971597006238,0.82778457407028,242.771286073414,0.133700394333389,0.0878130878582704,0.00720044439488262,284,243,5001
"25",24,282.836287862079,0.665853753451247,0.458522899998282,0.0393354844719196,5000.05919984838,0.115762820996235,0.825037330622058,242.762225409191,0.136091747347528,0.0936512468469703,0.00803159661423555,284,243,5001
"26",25,282.792192470646,0.676794855638726,0.48736269965003,0.0436499740649985,5000.05011644027,0.127017642915922,0.822865916810655,242.753200854207,0.138339628715531,0.0995466559745095,0.00891286110271638,284,243,5001
"27",26,282.748249732817,0.687096864468907,0.516443677769078,0.0482097249452936,5000.03999385153,0.138718906961767,0.821287241509704,242.744206445877,0.140457341389939,0.105491941208729,0.0098442715247312,284,243,5001
"28",27,282.704429602044,0.696822651610845,0.545733215286248,0.0530145310592805,5000.02883366794,0.150849148533866,0.820317183527309,242.735236041306,0.142457715336525,0.111480451891229,0.0108257914659403,284,243,5001
"29",28,282.66070121857,0.706032811901124,0.575202088647568,0.0580638808810346,5000.01663866549,0.16339074425868,0.819970590255242,242.72628332806,0.144353119459046,0.117506230304338,0.0118573221769806,284,243,5001
"30",29,282.617032962656,0.714785719669384,0.60482432416553,0.0633569935093763,5000.00341266893,0.176326047607834,0.820261283463808,242.717341834973,0.146155472963881,0.123563982122829,0.0129387099408354,284,243,5001
"31",30,282.573392507648,0.723137582809394,0.63457705656552,0.0688928529767245,4999.98916041739,0.189637511154727,0.821202071453625,242.708404942941,0.147876256268663,0.129649047713642,0.0140697530769514,284,243,5001
