"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Total1","Total2","TotalV"
"1",0,284,0,0,0,5000,0,1,135,0,0,0,284,135,5001
"2",1,283.989204264634,0.0105302152592866,0.000264574314563597,9.45791804571035e-07,5000.00994445763,5.63421327624387e-06,0.990049908160439,134.980179686857,0.0193328268721588,0.000485749817758325,1.73645293844213e-06,284,135,5001
"3",2,283.978516405082,0.0204409007338752,0.00103576079094966,6.93339320352474e-06,5000.01975939303,4.08287135266838e-05,0.980199778260579,134.960559553138,0.037526158918426,0.00190155871071645,1.27292329379988e-05,284,135,5001
"4",3,283.967935357992,0.0297644587302474,0.00227722606999346,2.29572073625232e-05,5000.0294156203,0.00013364741419069,0.970450732291283,134.941137580827,0.0546396539582879,0.00418061842753106,4.21467876799262e-05,284,135,5001
"5",4,283.957460132898,0.0385303625343255,0.00395611398306675,5.33905846223563e-05,5000.03888766149,0.000307126300310171,0.960805212207993,134.921911889896,0.0707275753569567,0.00726251837540759,9.80163717332335e-05,284,135,5001
"6",5,283.947089745134,0.0467668770077904,0.00604110241483016,0.000102275443124607,5000.04815204227,0.000581229140878048,0.951266728592693,134.902880612042,0.0858419600409007,0.011089672002528,0.000187755914192877,284,135,5001
"7",6,283.936823202569,0.0545010609183812,0.00850239801283613,0.000173338499453162,5000.05718718905,0.000973200720651583,0.941839610231841,134.884041866549,0.100032622862225,0.0156073066277593,0.000318203961011057,284,135,5001
"8",7,283.926659497946,0.0617585485012322,0.0113120121559644,0.000269941396752943,5000.06597372772,0.00149723391702939,0.932529038359521,134.865393746598,0.113346754177432,0.0207639711698628,0.00049552805500597,284,135,5001
"9",8,283.916597596516,0.0685638578563065,0.0144433845264426,0.000395161101004887,5000.07449399854,0.00216526887480285,0.923340732587821,134.846934296342,0.12582948792225,0.0265108431802024,0.000725372555832309,284,135,5001
"10",9,283.906636428081,0.074940389651779,0.0178713914466419,0.000551790820186185,5000.08273205012,0.00298706810709042,0.914280881773225,134.828661496387,0.137523899163206,0.032801744091268,0.00101286035856612,284,135,5001
"11",10,283.896774880699,0.08091046005748,0.0215723088470914,0.000742350396380074,5000.09067357643,0.00397036435097596,0.905356059220557,134.810573252299,0.14847106472371,0.039593070953832,0.0013626120232415,284,135,5001
"12",11,283.887011793725,0.0864953656743016,0.0255237360252511,0.000969104575133387,5000.09830580622,0.00512108032783014,0.896573113451624,134.792667381858,0.158710182748735,0.046843656009604,0.00177877938379158,284,135,5001
"13",12,283.877345952587,0.0917154403298174,0.0297045273264613,0.00123407975675323,5000.10561740168,0.00644352473834686,0.887939073580155,134.774941605498,0.16827867729643,0.0545146408411651,0.00226507636424011,284,135,5001
"14",13,283.86777608529,0.0965901007456335,0.0340947361920418,0.00153907777196805,5000.11259837507,0.00794054848537185,0.879461076450037,134.757393539939,0.177212282441921,0.0625693732999856,0.00282480431952144,284,135,5001
"15",14,283.85830085963,0.101137890691733,0.0386755602888165,0.00188568938928312,5000.11924000696,0.00961369374461444,0.871146299296146,134.740020693093,0.185545123599669,0.0709733064257599,0.00346087688146642,284,135,5001
"16",15,283.848918880804,0.105376525401931,0.0434292857844333,0.00227530800941633,5000.12553476343,0.0114633420892239,0.863001894478115,134.722820459729,0.193309799330895,0.0796938957921309,0.00417584514777757,284,135,5001
"17",16,283.839628690132,0.109322931212655,0.0483392364969716,0.00270914215836256,5000.13147622045,0.0134888437965007,0.85503493575428,134.705790119149,0.20053745436142,0.0887005058306088,0.00497192065942912,284,135,5001
"18",17,283.830428764406,0.112993282821174,0.0533897253972096,0.00318822737550715,5000.13705899196,0.0156886370417873,0.847252371001974,134.688926834027,0.207257848220521,0.0979643204885906,0.0058509972640035,284,135,5001
"19",18,283.821317515812,0.116403038393602,0.0585660082494944,0.00371343754459898,5000.14227866135,0.018060357831557,0.839660980821653,134.672227650295,0.213499419924837,0.107458257827455,0.00681467195296327,284,135,5001
"20",19,283.812293292389,0.119566972532169,0.0638542394189359,0.00428549566011662,5000.14713171635,0.0206009407917638,0.83226734286383,134.655689498004,0.21928934872472,0.117156888611932,0.00786426465917783,284,135,5001
"21",20,283.803354378944,0.122499207295699,0.0692414297017887,0.00490498405830183,5000.15161548713,0.0233067115820056,0.825077801285791,134.639309193034,0.224653611269708,0.127036358627441,0.00900083706863716,284,135,5001
"22",21,283.794498998381,0.125213241408902,0.0747154060740179,0.00557235413627505,5000.15572808759,0.026173471498902,0.818098440916667,134.623083439536,0.229617035442409,0.137074314532174,0.0102252104894946,284,135,5001
"23",22,283.785725313368,0.127721977797182,0.0802647732516894,0.00628793558298321,5000.15946835946,0.0291965748362902,0.811335065707284,134.607008833017,0.234203351112188,0.14724983304823,0.0115379828221998,284,135,5001
"24",23,283.777031428319,0.130037749572645,0.0858788769644395,0.00705194514446185,5000.1628358194,0.0323709995302392,0.804793181073105,134.591081863978,0.238435238039587,0.157543353310078,0.0129395446721471,284,135,5001
"25",24,283.768415391619,0.132172344585732,0.0915477688510629,0.00786449494459522,5000.16583060865,0.0356914115770417,0.79847797977057,134.575298922011,0.242334371141836,0.167936612202967,0.0144300946438776,284,135,5001
"26",25,283.759875198078,0.134137028648112,0.0972621728923228,0.00872560038151846,5000.16845344535,0.0391522236800064,0.792394330973165,134.559656300298,0.24592146331346,0.178412582535007,0.0160096538539552,284,135,5001
"27",26,283.751408791556,0.135942567523765,0.103013453302039,0.00963518761878064,5000.17070557921,0.0427476485492339,0.786546772238981,134.544150200424,0.249216305980133,0.188955413897629,0.0176780796977537,284,135,5001
"28",27,283.74301406773,0.137599247777385,0.108793583802915,0.0105931006894399,5000.17258874867,0.0464717472493936,0.780939504084941,134.528776737468,0.252237807549419,0.199550376079024,0.0194350789036442,284,135,5001
